Id,ÎÂ¶È,½µÓê,X,Y
1,13.5,500,301731.98,3881689.18
2,12.8,520,298758.02,3882471.80
3,13.2,540,300440.65,3884154.43
4,13.0,550,300127.61,3887480.57
5,12.5,590,298210.18,3891902.38
6,12.0,630,296292.76,3895619.83
7,11.3,690,296840.60,3900159.03
8,11.3,690,290775.29,3897028.54
9,11.9,600,302240.68,3892058.90
10,12.0,660,304979.85,3895071.99
11,11.6,700,306858.14,3898398.13
12,8.3,780,302045.03,3902819.94
13,9.0,670,309127.74,3894211.11
14,9.4,630,310810.38,3889437.12
15,11.2,620,305175.51,3887441.44
16,11.6,540,311279.95,3885719.67
17,11.9,510,308775.56,3885250.10
18,9.5,630,288897.00,3883958.78
19,8.5,680,287996.98,3889084.94
20,8.9,720,288505.69,3892998.05
21,8.6,710,288231.77,3899767.72
22,8.6,780,290031.80,3902741.67
23,9.3,690,292770.97,3894367.63
24,10.8,550,294414.47,3889671.91
25,9.4,530,292653.58,3887519.70
26,11.1,520,294610.13,3883371.81
27,9.6,730,302514.60,3899337.27
28,10.0,730,310732.12,3899806.85
29,9.3,740,309206.01,3902546.02
